source,target,weight
TG 36:0,TG 41:1,0.8091913417368152
TG 43:1,TG 46:0,0.8092292722834686
TG 51:2,TG 52:2,0.8092438706079056
TG 53:5,TG 54:7,0.8092577266800108
DG 36:3,TG 54:6,0.8094235054556775
TG 38:0,TG 46:1,0.8094488019811867
TG 47:4,TG 51:5,0.8095754856615202
DG 51:11,TG 50:5,0.8098199703444202
TG 50:5,TG 53:5,0.8098579873042228
TG 42:4,TG 46:2,0.8099887223809866
TG 58:3,TG 62:7,0.8102125921791337
Cer 38:1;O2,Cer 40:2;O2,0.8102202111581372
FA 18:3,FA 22:5,0.8102244241361645
FA 16:1,FA 17:0;O2,0.8102433183356421
TG 42:3,TG 46:2,0.8103375459475234
DG 30:2,TG 40:3,0.8103396506522865
TG 52:4,TG 56:6,0.8103510852689855
TG 49:3,TG 50:4,0.8103705149703023
DG 34:3,TG 52:6,0.8103861822399213
PC O-42:7,SM 40:2;O2,0.8104137798524174
PE O-38:6,PE P-36:4,0.8104836011328116
TG 56:2,TG 58:5,0.810570342156749
DG 36:2,TG 50:2,0.8106035057617182
TG 42:4,TG 44:3,0.8106221319662652
TG 57:3,TG 60:4,0.810720622358638
FA 24:2,FA 24:4,0.8107782363330199
FA 14:0,FA 18:2,0.8108032129494204
DG 27:1,FAHFA 28:2;2O,0.810845284069969
TG 56:10,TG 58:10,0.8108788805790216
PE O-38:6,PE O-38:7,0.8108973591614924
FA 16:0,FA 22:6,0.8109136907253032
DG 36:4,TG 52:6,0.8112022033836631
TG 38:2,TG 47:2,0.8112482126144718
FA 17:0,FA 18:1,0.8112563129735869
TG 38:2,TG 41:1,0.8112654599768795
DG 51:8,TG 42:1,0.8113528903675304
FA 16:0,FA 17:2,0.8114719934214073
TG 49:0,TG 54:0,0.8114921303867708
DG 36:2,DG 36:3,0.811576000031525
DG 47:6.1,TG 40:2,0.8116705381293478
DG 36:4,TG 50:4,0.8117593243898925
TG 57:4,TG 58:3,0.811782567453369
TG 56:2,TG 62:3,0.8119910879417271
TG 43:2,TG 47:2,0.8120345004580407
TG 50:6,TG 54:7,0.8120763899863618
DG 28:0,TG 38:0,0.8121028184145551
TG 58:5,TG 60:5,0.8121219515646418
TG 38:2,TG 48:5,0.8121669340891612
TG 60:4,TG 60:6,0.8123131452109361
LPC 22:6.1,LPE 22:6,0.8124257041631322
TG 50:5,TG 52:4,0.8125172393109418
TG 50:5,TG 51:4,0.8125495174094685
TG 38:0,TG 41:1,0.8127339531643886
TG 50:4,TG 53:5,0.8127398196197194
DG 51:8,TG 40:2,0.8127573073689364
PC O-37:9,PE O-38:8,0.8128418543676587
DG 31:0.1,DG 31:1,0.8128531946328725
TG 46:3,TG 52:7,0.812878253736654
LPC 22:6/0:0.1,LPE 22:6,0.8128847195714279
TG 60:11,TG 62:13,0.8129474125450367
FA 17:2,FA 18:1,0.8130074692697231
FA 14:0,FA 17:0;O2,0.8132085467723998
TG 44:1,TG 44:2,0.813449931880613
TG 54:8,TG 58:10,0.8135042205916433
TG 45:3,TG 46:1,0.8135903239374352
TG 38:1,TG 48:3,0.8136335266231908
TG 56:6,TG 56:8,0.8136777773823125
TG 44:3,TG 47:2,0.8137146458277982
TG 54:5,TG 54:8,0.8137538088614924
TG 42:4,TG 47:4,0.8138672038731937
TG 36:0,TG 46:1,0.814004847463652
TG 50:0,TG 51:1,0.814193548380867
CE 22:4,PE P-38:2,0.814218316421339
PC O-37:9,PE O-40:7,0.8142796981344274
TG 58:9,TG 60:10,0.8144267106247531
TG 50:6,TG 52:5,0.8145941973926117
TG 47:4,TG 53:4,0.8148501366369075
DG 40:7,TG 56:7,0.8148663985710315
TG 58:8,TG 60:11,0.8148827208957207
FA 22:1,TG 58:4,0.8150266751870862
TG 38:0,TG 43:1,0.8150433235558199
FA 16:3,FA 20:3,0.8150935407421074
TG 48:3,TG 52:6,0.8151146533501479
CAR 18:0,CAR 18:2,0.8151955178902888
TG 38:1,TG 45:3,0.8152832132538788
TG 51:1,TG 54:2,0.8153464053325622
DG 51:11,TG 48:5,0.8154331432193763
TG 52:7,TG 56:8,0.8154352233182558
TG 52:6;O,TG 54:7;O,0.8154674101908019
TG 40:0,TG 41:1,0.8154778433649014
TG 47:2,TG 51:2,0.8155440422458456
TG 44:3,TG 45:1,0.8157556634846049
TG 52:7,TG 54:6,0.8159276769591186
TG 40:0,TG 46:3,0.8159366320298266
PE O-34:3,PE P-36:2,0.8160114958860178
TG 52:6,TG 56:9,0.8160799575894164
TG 55:4,TG 57:4,0.8160935029473256
FA 16:0,FA 16:3,0.8161218692033503
LPC 18:2,LPE 18:2,0.8161339053628246
TG 38:2,TG 45:3,0.8162283328742451
FA 20:1,FA 20:3,0.8162622244890364
TG 46:0,TG 47:2,0.8163113422310678
PC O-35:6,PE O-40:8,0.816317740605351
TG 43:1,TG 46:2,0.8165367501280443
FA 16:3,FA 18:1,0.816630886803215
CE 20:4,Cer 42:2;O3,0.8166722982881238
FA 17:0;O2,FA 22:3,0.8167742948965919
DG 51:10,TG 42:1,0.8169433424480238
FA 16:2,FA 17:0;O2,0.8170034792513821
DG 51:10,TG 44:3,0.8171568905158602
TG 50:4,TG 51:5,0.8171739389191511
TG 50:3,TG 51:3,0.8172666163436244
TG 58:11,TG 60:11,0.8172704575770392
TG 41:1,TG 49:4,0.8173752765201726
TG 52:3,TG 54:2,0.8173843447485405
LPC 20:3.1,LPC 22:6/0:0,0.8174115155523376
TG 50:2,TG 54:3,0.8174373973246404
PC O-37:9,PE O-40:8,0.8175223027090762
