	BCDAGENT_Water	Fath_Occ_Daily labourer (unskilled labourer)	Toilet_Pit latrine	Table	Wall_Tin wall	Almeria	Chair	Own_Hous	Condition_Healthy	Roof_Finished roof (concrete)	BEAGENT_Water	Food_Surplus	Cook_Plc_Inside house	Fam_Type_Joint	Clock	SEX_Female	BFIAGENT_Water	Food_Sometimes deficit	BFIAGENT_Soap	Drain	Water_TM_Boil	SEX_Male	Cook_Plc_Outdoors	TV	Fam_Type_Nuclear	BEAGENT_Soap	Roof_Tin roof	Condition_MAM	Wall_Bricks, cement blocks, concrete walls	Toilet_Septic tank or toilet	Toilet_F	Moth_Occ_Housewife	Gas	C_Fuel_Gas	BCDAGENT_Soap	BFIHOW_Both hands	BEHOW_Both hands	ADAGENT_Soap	BFISoW_Municipality supply/piped water
taxo	0.8651224452997557	3.079113882493042	1.1177951080848836	0.9728610833625494	1.987774353154012	1.443923473956527	0.2119563619236453	0.2131932204610416	2.0794415416798357	0.3011050927839216	0.3624056186477175	0.17912666589743548	0.5996568374726063	0.140412153716745	3.575550768806933	0.7423374247507171	0.03459144476961909	0.24974423311138874	0.05975000440577405	0.6273594400219421	1.194022473472768	0.6311117896404926	0.5481814103097596	0.8818893051568227	0.140412153716745	0.4748151862429576	0.3011050927839216	2.0794415416798357	2.162823150618887	0.10314075891951337	2.0955709236097197	0.0779615414697118	0.1427163022015952	0.008032171697264267	0.8651224452997557	2.364460496712133	4.135166556742356	0.015113637810048184	1.9105430052180221
coverage	0.15082288973458366	3.649658740960655	0.7339691750802004	0.5225608799844117	4.509860006183766	1.443923473956527	1.7719568419318752	0.5905905922348531	1.4354846053106625	0.2890162954649176	0.16134315040876293	0.6971552019574841	0.19237189264745613	0.4604494164409239	4.961845129926823	1.6713133161521878	0.020202707317519466	0.5225608799844117	0.05024121643674679	0.5638748448558062	0.4246479275249383	1.6194882482876019	0.4307829160924542	0.34672461308556435	0.4604494164409239	0.18632957819149348	0.2890162954649176	1.4354846053106625	4.961845129926823	0.14502577205025774	2.631089159966082	0.6891551592904078	0.03770186718401153	0.008032171697264267	0.15082288973458366	1.851509473633829	1.2006450142332614	0.17197526473981037	1.5896352851379207
pathways	0.8533159327127666	5.809142990314028	1.6502599069543555	0.18753512384684212	1.7092582477163114	1.5186835491656363	0.4400565528777834	0.07364654016829848	1.448169764837978	0.11765804346823246	0.10092591858996053	0.10869941692334091	1.0469690555162714	0.04709160753385057	2.385966701933097	0.2890162954649176	0.2561834053924099	0.5293290953305504	0.10092591858996053	0.282362910974181	2.864704011147587	0.21072103131565253	1.3394107752210402	0.7765287894989963	0.04709160753385057	0.11653381625595151	0.11765804346823246	1.448169764837978	1.7544636844843582	0.20948722486672405	3.912023005428146	0.08773891430800675	0.140412153716745	0.019182819416773987	0.8533159327127666	4.199705077879927	2.0249533563957662	0.0998203352822109	3.506557897319982
bayleys	0.1960148839259572	1.5095925774643841	0.2156715364755087	0.6051363032372319	1.4784096500276962	0.31471074483970024	0.9519179095173061	0.9213032736976993	6.907755278982137	0.8746690571833357	0.011060947359424948	0.29169009384931976	4.422848629194137	1.2447947988461912	0.780886094867952	0.4462871026284195	0.16841865162496325	0.1301086853470204	0.20211618412213422	0.5709295478356962	0.14734058789870913	1.4610179073158271	4.710530701645918	0.5430045221302259	1.2447947988461912	0.017146158834970514	0.8746690571833357	6.907755278982137	1.5278579254416775	1.2729656758128873	5.809142990314028	1.8325814637483102	0.5603660693261269	0.7765287894989963	0.1960148839259572	0.7571525105358577	1.1425641761972924	0.7852624694677509	0.9187938620922735
metab	0.5091603444469295	0.5960204698292225	0.959720289801491	0.0010005003335835344	2.2926347621408776	0.44316697529217586	1.016111067156366	1.0847093834991182	6.907755278982137	1.1583622930738837	0.6180397080731398	0.7236063880446539	1.3318061758358208	0.11093156070728166	1.7092582477163114	0.8627499649461253	1.1744140020843916	0.6655320135269719	1.1177951080848836	0.991553216374702	0.5996568374726063	0.7765287894989963	1.3318061758358208	0.7962879394794586	0.11093156070728166	0.35953617621976464	1.1583622930738837	6.907755278982137	1.6296406197516198	1.1841701770297564	3.146555163288575	0.10314075891951337	1.5005835075220182	1.5095925774643841	0.5091603444469295	1.0642108619507773	0.623621117911335	0.616186139423817	0.7721903879003982
eeg	-0.0	1.324258970200438	0.2731219211204512	0.8278220838865469	1.1208578976154293	0.6733445532637656	1.9310215365615626	0.12443007837817703	2.6736487743848776	0.4620354595965587	0.15082288973458366	1.6928195213731514	-0.0	0.8324092478934529	0.22815609313775398	0.42159449003804794	1.0078579253996456	1.6766466621275504	1.7897614665653818	1.742969305058623	0.4992264879226388	0.3930425881096072	0.0020020026706730793	0.38272562113867487	0.8324092478934529	0.014098924379501648	0.4620354595965587	2.6736487743848776	0.8867319296326107	0.6831968497067772	1.995100393246085	5.298317366548036	0.3051673867928005	0.3871341514234409	-0.0	1.0328245481301066	1.3470736479666092	0.6106459590482015	0.4668087383492164
