	PB_Ratio
basemean	2.6653289024782665
Malnourishedmean	3.739737213207462
Well-nourishedmean	0.5318609711731492
baseprev	1.0
Malnourishedprev	1.0
Well-nourishedprev	1.0
basestd	20.43112057489065
Malnourishedstd	24.984226907273722
Well-nourishedstd	1.7249659653862426
FC	7.0314187652434
Log2FC	2.813815818610145
Log10FC	0.8470429636754535
MWW_pval	0.0639272398274726
MWW_qval	0.0639272398274726
