Sample_Name	Methanobacteria	Actinobacteria	Coriobacteriia	Bacteroidetes_unclassified	Bacteroidia	Sphingobacteriia	Candidatus_Saccharibacteria_unclassified	Deinococci	Bacilli	Clostridia	Erysipelotrichia	Firmicutes_unclassified	Negativicutes	Tissierellia	Fusobacteriia	Lentisphaerae_unclassified	Lentisphaeria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Proteobacteria_unclassified	Spirochaetia	Synergistia	Mollicutes	Verrucomicrobiae	Conoidasida	Saccharomycetes	Tremellomycetes	Eukaryota_unclassified
LCC11091001	0.0	0.10912328773428998	0.0	0.0	0.793604579311024	0.0	0.0	0.0	0.03712734732769619	0.017062040389992355	0.0002730879117921041	0.0	0.005191972596343544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037617684728861935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11441001	0.0	0.1764866539319561	0.002329549711696572	0.0	0.09038415213333262	0.0	0.0	0.0	0.2143384127158047	0.4398398721587592	0.00010121033461244339	0.0010266051254121924	0.02570108046312239	0.0	5.901418515710643e-05	0.0	0.0	0.0	0.012130436253803702	2.5075993351739596e-05	0.0	0.03756414016130814	0.0	0.0	6.9487692420479585e-06	0.0	6.8480624414386675e-06	0.0	0.0	0.0	0.0
LCC11301001	0.0	0.6681432284990443	0.004195332839811852	0.0	7.574934312210817e-05	0.0	0.0	0.0	0.06503566423168052	0.0021127762624573634	0.0	0.0	0.008297204799206204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051842270054713646	0.200297773969964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11011001	0.0	0.03354304308698611	0.0	0.0	0.0	0.0	0.0	0.0	0.48355109125895357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009735087103170245	0.47317077855089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11081001	0.0	0.4313881556895005	0.0014834522538021914	0.0	0.0509493814093207	0.0	0.0	0.0	0.06733033058648877	0.20387221385901036	0.004435238904193633	0.0	0.010502705796086337	0.0	0.0	0.0	0.0	0.0	0.005687417978115749	0.0	0.03826329660595096	0.18608780691753105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11541001	0.0	0.046667356617571855	0.009739439238390475	0.0	0.4005834898759733	0.0	0.0	0.0	0.043260924590371744	0.04925256655719714	0.00019495124413792226	5.114461651766243e-06	0.36229622881660195	0.0	0.00011502524538384611	0.0	0.0	0.0	0.006670260829521556	0.0	0.03169953360121079	0.04951510892198782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11591001	0.0	0.2061312575806869	0.003913645296482641	0.0	0.5175066597997798	0.0	0.0	0.0	0.1432492219729174	0.038223569188486836	0.0006700817023476647	0.0	0.03602604534946491	0.0	0.0	0.0	0.0012595295062044077	0.0	0.024459282682439694	0.0	0.0	0.028230868257015245	0.0	0.0	0.0	0.0	0.00032983866417441745	0.0	0.0	0.0	0.0
LCC10881001	0.0	0.4116455411125016	0.00993589580120048	0.0	0.41818316734005023	0.0	0.0	0.0	0.0005832291031322456	0.00681564010044101	0.0	0.0	0.09084103296754507	4.6302310485291447e-05	0.0010429520433069593	0.0	0.0	0.0	0.032642028837238976	7.400369278426517e-06	0.0068896437932252814	0.021367166221594458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10851001	0.0	0.19827533531974545	0.0012380851830653182	0.0	0.4650786855221564	0.0	0.0	0.0	0.04164423722433321	0.02549804380537701	0.0028422869797312617	0.0	0.013710391040590558	0.0	0.0	0.0	0.0	0.0	0.054409536541443114	0.0	0.0	0.19730339838355754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11401001	0.0	0.6100026329633064	0.00012655383712842518	0.0	0.1278362672194996	0.0	0.0	0.0	0.0075044816681940725	0.05106474140385743	0.0005051428583685572	0.0	0.05999268561721004	0.0	0.0	0.0	0.0	0.0	0.04124180416437199	0.0	0.0019267285457730725	0.09979896172229048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11171001	0.0	0.04213461684234095	0.0	0.0	0.05313259429157764	0.0	0.0	0.0	0.8124072872067264	0.023609577924930188	0.0	0.0	0.004158753919978474	0.0	0.00020652206106406507	0.0	0.0	0.0	0.0	0.0	1.2951553659340637e-05	0.064337696199723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11241001	0.0	0.034729151077796346	0.0014671679406085543	0.0	0.6347190256951835	0.0	0.0	0.0	0.10096859410074958	0.11007678077635359	0.0006001314274663151	0.0004997888857725209	0.05069212052850446	0.0	0.0	0.0	0.0	2.166831879159435e-05	0.005068057759232576	0.0	0.006398128019262526	0.05475938547027845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
