Sample_Name	Euryarchaeota	Actinobacteria	Bacteroidetes	Candidatus_Saccharibacteria	Deinococcus_Thermus	Firmicutes	Fusobacteria	Lentisphaerae	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	Apicomplexa	Ascomycota	Basidiomycota	Eukaryota_unclassified
LCC11561001	0.0	0.5919231775757042	0.059743533076444685	0.0	0.0	0.2504095182703269	0.0	0.0	0.07973906468867646	0.018184706388847647	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10981001	0.0	0.07905648832161746	0.7252020232139396	0.0	0.0	0.1620137724079764	0.0026617701668655356	0.0	0.02725615766756087	0.0	0.0	0.0	0.0038097882220403632	0.0	0.0	0.0	0.0
LCC11311001	0.0008812474038968432	0.027638367163575584	0.3474644500429102	0.0	0.0	0.4604058827572263	0.0	0.00013224722295859627	0.041918562560851254	0.022889088862719963	0.0	0.09693541105743075	0.0	0.0	0.0	0.0	0.0017347429284304057
LCC11411001	0.0	0.7255710453520651	0.00224031572703269	0.0	0.0	0.22399146344728468	0.0	0.0	0.048197175473617536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11431001	0.0	0.6929147822113099	0.17721254509878784	0.0	0.0	0.030734129875882477	0.0	0.0	0.09913854281401993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10911001	0.0	0.6549881225933023	0.19812477156797156	1.0446640466304003e-05	0.0	0.07213871105679485	0.0	0.0	0.07369836624425063	0.0	0.0010395818972143743	0.0	0.0	0.0	0.0	0.0	0.0
LCC11231001	0.0	0.5202948405211583	0.00012725387538611534	0.0	0.0	0.4022920515487327	0.0	0.0	0.07728585405472296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10931001	0.0	0.2845302191901421	0.011871806825863553	0.0	0.0	0.5132225909232034	0.0	0.0	0.19037538306079108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10941001	0.0	0.09827653995452883	0.10252018289154223	0.0	0.0	0.35291734958808774	0.0009910479846880768	0.0	0.4452948795811531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11421001	0.0	0.31596434120931643	0.3264795215817016	0.0	0.0	0.13814813633950968	0.0	0.0	0.21940800086947226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10861001	0.0	0.40226827551056876	0.3700424649000872	0.0	0.0	0.178578701039151	0.0	0.0	0.04911055855019296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11021001	0.0	0.5397731758825942	0.1063612704910179	0.0	0.0	0.22094002843925234	0.0009060699789580055	0.0	0.13201945520817765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11471001	0.0	0.11536226016019946	0.6558613748032915	0.0	0.0	0.14213681737422038	9.892311833275327e-05	0.0	0.08654062454395592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11341001	0.0	0.0386956141807545	0.8207410405854366	0.0	0.0	0.11338073304087132	0.0	0.0	0.02701525080635256	0.0	0.0	0.0	0.0001673613865850836	0.0	0.0	0.0	0.0
LCC11261001	0.0	0.34605819762561013	0.2800477309692873	0.0	0.0	0.12679587217448016	0.0	0.0	0.24709819923062243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11551001	0.0	0.12253766115518204	0.3182293898032311	0.0	0.0	0.20490886341361486	0.04135180371354644	0.0	0.31228494411838587	0.0	0.0	0.0	0.0006873377960395905	0.0	0.0	0.0	0.0
LCC10871001	0.0	0.4906823012833564	0.2333039618465495	0.0	0.0	0.18184600348488816	0.000901090485703385	0.0	0.09326664289950268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11371001	0.0	0.4409512042864276	3.974179246895933e-05	0.0	0.0	0.30604123296058133	0.0	0.0	0.25296782096052206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11291001	0.0	0.11918344425872904	0.001582547195579771	0.0	0.0	0.7591638753662671	0.0	0.0	0.12007013317942421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11091001	0.0	0.10912329865413378	0.7936046587261354	0.0	0.0	0.05965435412650987	0.0	0.0	0.037617688493221044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11441001	0.0	0.17881612094485141	0.09038416123563228	0.0	0.0	0.681007249379772	5.901419110023678e-05	0.0	0.04971965741557119	0.0	6.948769941836345e-06	0.0	6.848063131085193e-06	0.0	0.0	0.0	0.0
LCC11301001	0.0	0.672338494061182	7.574933554223707e-05	0.0	0.0	0.07544563774386256	0.0	0.0	0.2521401188594132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11011001	0.0	0.03354302774834658	0.0	0.0	0.0	0.48355087013960374	0.0	0.0	0.48290610211204965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11081001	0.0	0.4328716079433027	0.0509493814093207	0.0	0.0	0.286140489145779	0.0	0.0	0.23003852150159773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11541001	0.0	0.05640679585596231	0.40058348987597325	0.0	0.0	0.4550097856699605	0.00011502524538384609	0.0	0.08788490335272016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11591001	0.0	0.21004492389049595	0.5175067115722161	0.0	0.0	0.21816894003928652	0.0	0.0012595296322103439	0.05269005616861891	0.0	0.0	0.0	0.0003298386971721594	0.0	0.0	0.0	0.0
LCC10881001	0.0	0.42158139475345874	0.41818312551965087	0.0	0.0	0.0982861946524937	0.001042951939006561	0.0	0.06090633313539015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
