	Bile acids and derivatives [ST04]	Ceramides [SP02]	Diradylglycerols [GL02]	Fatty Acids and Conjugates [FA01]	Fatty amides [FA08]	Fatty esters [FA07]	Glycerophosphocholines [GP01]	Glycerophosphoethanolamines [GP02]	Glycerophosphoglycerols [GP04]	Glycerophosphoinositols [GP06]	Glycerophosphoserines [GP03]	Monoradylglycerols [GL01]	Neutral glycosphingolipids [SP05]	Oxidized glycerophospholipids [GP20]	Phosphosphingolipids [SP03]	Steroid conjugates [ST05]	Sterols [ST01]	Triradylglycerols [GL03]
LCC20691001	6.522211132344858	177.8189952965454	487.2622619951848	622.4545503726625	35.50510991066798	136.75686139528014	1042.0722237256496	529.256229636893	8.983281616743907	370.9254959398646	20.283223713228725	38.22633687455949	109.34559191448167	9.060337734696043	317.85059140526715	14.923958814654624	138.14365607578281	1705.839718580976
LCC20271001	6.5460258210540445	172.90168301923677	438.0822870632446	594.6170292196188	35.22850210318724	126.38229063672631	830.4232731694567	513.9337067390272	9.940359680546129	209.02890165193506	24.129549044145218	37.96751734094342	100.45329528811732	8.927925056313251	275.03547637399544	0.017621819690407	69.18205890829296	1902.195355794316
LCC20451001	6.949307275466111	177.6574080706692	297.43851257190505	664.5902520431715	41.448121217525696	111.32880818433335	637.770912749213	384.7406712223383	8.482669996905509	264.3143023918866	15.537171644748037	30.316032470761307	95.81932898102448	8.742862599187523	284.8225480305195	0.0070113628491559	85.21260938347818	1408.1415876607223
LCC20501001	6.025018133834215	173.8776646642347	418.47897027803003	590.9749738755962	37.911375126175386	130.9795848249224	714.438780043055	387.6003608717049	7.429473412581549	186.94202821905324	22.804920176085247	32.192685387877326	102.1933569564209	8.253768666130842	307.8128865498721	15.773871992103402	77.10842612850219	1746.4527845156015
LCC20071001	4.4747697496576455	139.62667149042954	439.5156036752729	371.56309633729217	30.368820436422116	110.2676102580211	895.829381499525	581.9259081072845	9.685359894321095	297.94552467834546	17.151438656425718	31.47114888665775	91.12762262972217	9.406528531669426	281.1655572942953	5.352509338457681	109.88794232191451	1767.733200540162
LCC20241001	3.2728071505893053	127.50150331525886	374.10962564736593	236.88616686098067	37.29731646293486	77.5804044616562	830.9057455962475	434.1472058456724	11.451307913377764	329.4788377358575	21.4313745261501	36.446238003880666	65.97376138836009	11.316479578139363	236.86810178970055	0.1107261946211105	86.55909273913542	1653.8149897518872
LCC20341001	4.88421932668532	166.49413878232858	321.1300717935083	306.25244191215637	37.00427280441292	68.79453190190141	602.6199380421687	308.93785335925503	10.291538619916572	192.6006052028378	34.9150785163998	29.71850605531291	82.59582697157856	9.036887793980988	260.6708630780784	0.7153493775649803	64.90995121688391	1395.4648656592442
LCC20061001	6.77448093560334	194.4794597205616	391.60836629042427	693.1083601928055	43.0575780928389	132.78171052945635	1214.9063412753458	476.55725032666635	9.01586814875364	304.637170014958	20.527883508139787	33.717011159324024	127.21719573516016	10.176850532192086	406.1729151662893	24.714192833138505	227.45130591256765	1611.9592833346123
LCC20641001	6.249122865576157	130.51523826380583	355.25151373093667	546.9428470774085	38.15550273826835	116.50962854588853	640.1806298159421	322.4063952978568	9.28868468650394	233.8645886131465	23.51824478387299	27.44254812435138	90.52363330509846	9.583721427686807	288.53253087382075	6.999755011432733e-05	90.10115475361651	1523.7492064191474
LCC20191001	5.90244995866575	134.06509156521162	382.32635603958977	575.6882558956986	42.430233826761	118.48211876981861	621.9384690053542	354.9536260608918	8.449952685068817	197.24587286666338	25.899244852980686	27.130380202421133	72.14458903354675	9.698990248403554	292.4420872081613	1.9999998000000264e-07	106.99653578727195	1530.0169073754748
LCC20021001	6.682775155952077	203.21563678564272	405.2754572440906	606.6817161961446	34.139316939713154	119.56503055426487	1323.0636617084622	537.8628275076264	9.856465539121432	330.8176966133719	22.35567881593006	27.535941724397624	141.16141825443557	10.178774773244552	416.4661608096899	25.206177344627488	191.5508905167501	1750.7555036413282
LCC20631001	6.216408594555786	194.0519672496972	378.276423432873	531.4635744804185	38.7425479391986	94.86178221943484	694.2571346755266	322.52394464660676	8.522977553490888	148.32322786949	23.992415916254764	26.509948632274984	107.93866314935822	9.08772227158546	318.12655453481966	1.9268793495377128	86.90835869406118	1690.8118078605207
LCC20151001	6.590551643168769	183.42983712582037	305.394978601462	584.6305167546906	36.865438654994705	126.60208366209588	807.8533635077449	405.3230880374783	9.057203089005498	237.06941744256025	26.200642809350057	26.45731086679699	115.64965373474482	10.177432248832234	330.88835208537614	14.337802464204156	144.59829227687266	1420.2890518994939
LCC20471001	5.746505419624725	165.07767831546215	401.0464040393094	454.3897425489841	39.249746381386764	135.4208776852057	848.9956895494049	459.43610754668947	9.499970606252797	206.81054623746536	23.063516130142677	26.863335926259992	95.20223468395346	9.431722697241923	374.35197220584433	8.022137136815282	136.3737554878969	1545.1985143020822
LCC20361001	6.5915634666704	209.55069939242304	388.10204577511877	650.459005582823	33.397074321203945	129.21081431021454	1265.50006374869	509.83576284150826	10.027701538433057	326.88615055950066	20.75991437496112	26.74060180209152	95.36432113431863	10.363866979205277	435.2661942333582	22.624781579573863	231.66330836177602	1924.2920912910356
LCC20131001	6.401738029765638	197.845807349437	325.2016979103147	515.8227051933944	32.88813516947698	117.52018824045835	1163.3129047610744	482.2190426903349	8.63153573348959	259.27874862812024	29.430707853079532	26.59590815649576	137.05556670051863	10.483659333664264	469.7695875817569	26.97679569415866	225.94485570607873	1495.974516479739
LCC20371001	5.99124168227546	174.46508539790256	386.5789393732131	496.15705335560955	38.74646725688136	82.11260189477618	1026.2831850764912	458.8688344640012	9.91275513378466	304.3184658933214	17.61980608441045	34.866821411568814	102.49770108001715	11.209136371503869	324.56390472147535	0.0001389903403951	143.87097314830947	1783.0445950851522
LCC20441001	6.269890260090242	169.92857930234985	364.217160533966	553.0871811026715	36.74779887274257	104.2544635604102	756.9631867468199	478.47114360326486	7.775402313080134	233.15265241913798	20.054260097557485	26.885463827396517	96.73998916722134	10.089646365428557	313.05268896556566	4.908862320691446	91.95746218343108	1497.9785908727936
LCC20041001	6.015503863419974	196.0552789292881	401.838762429676	532.2771385193383	32.392404682199846	117.90849870968103	876.0680765779515	439.37199893419364	9.125761327593034	260.6558339954488	18.620965191704254	27.409648400794893	113.57466291528601	10.044910835207904	387.93000777030807	0.0210528258643288	141.56186067711286	1654.3422842935095
