Sample_Name	Methanobacteriales	Actinomycetales	Bifidobacteriales	Corynebacteriales	Micrococcales	Propionibacteriales	Coriobacteriales	Eggerthellales	Bacteroidetes_unclassified	Bacteroidales	Sphingobacteriales	Candidatus_Saccharibacteria_unclassified	Deinococcales	Bacillales	Lactobacillales	Clostridiales	Erysipelotrichales	Firmicutes_unclassified	Acidaminococcales	Selenomonadales	Veillonellales	Tissierellales	Tissierellia_unclassified	Fusobacteriales	Lentisphaerae_unclassified	Victivallales	Caulobacterales	Rhodobacterales	Rhodospirillales	Burkholderiales	Neisseriales	Rhodocyclales	Desulfovibrionales	Campylobacterales	Aeromonadales	Enterobacterales	Pasteurellales	Pseudomonadales	Vibrionales	Xanthomonadales	Proteobacteria_unclassified	Brachyspirales	Spirochaetales	Synergistales	Acholeplasmatales	Mycoplasmatales	Verrucomicrobiales	Eucoccidiorida	Saccharomycetales	Tremellales	Eukaryota_unclassified
LCC11561001	0.0	0.0	0.5864275857845248	9.62979773697738e-05	0.0011533596661965594	0.0	0.0042458745231311055	0.0	0.0	0.05974352705847252	0.0	0.0	0.0	5.439425499966212e-05	0.23954847127464576	0.0031935471490913275	0.0	0.0	0.0	0.0	0.007613181097915804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019123609836455607	2.9413189740558014e-05	0.0	0.0	0.0	1.823214843507185e-05	0.06813978396817977	0.008310031942522599	0.0013292344240288022	0.0	0.0	0.0	0.018184704557100324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10981001	0.0	0.0	0.07386764778400666	0.0	0.0	0.0	0.0015193647593973294	0.003669568083056603	0.0	0.7252019505279843	0.0	0.0	0.0	0.0	0.025093423041904768	0.054886262633309015	0.0013290307216576674	0.0	0.0	0.015266213072290055	0.06543892692896884	0.0	0.0	0.002661769900080142	0.0	0.0	0.0	0.0	0.0	0.009855775109559843	0.0	0.0	0.0	0.015915493691814817	0.0	0.001484785905779539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003809787840190772	0.0	0.0	0.0	0.0
LCC11311001	0.0008812473156070628	5.520319132554288e-05	0.02255145543564585	0.0006640412923878597	0.00012172754530042693	0.0	0.0036420080055648008	0.0006039289243382637	0.0	0.34746441523139204	0.0	0.0	0.0	0.0	0.011512119605177958	0.253592540536024	0.004706898605563378	0.1468435947316318	9.417604327767555e-06	0.003431815091951384	0.040309550643016986	0.0	0.0	0.0	0.0	0.00013224720970910674	0.0	0.0	0.0	0.007713118131723632	0.0	0.0	0.014906264279818265	0.0	0.005935695595777184	0.013363480353825405	0.0	0.0	0.0	0.0	0.0	0.0	0.02288908656952441	0.0	0.09693540134573558	0.0	0.0	0.0	0.0	0.0	0.0017347427546312304
LCC11411001	0.0	9.080572674663276e-05	0.7252662557266397	0.0	0.00021398389867872565	0.0	0.0	0.0	0.0	0.0022403157270326902	0.0	0.0	0.0	0.0	0.2087965706382533	0.006275469759300691	0.0	0.0	0.0	0.0	0.008919423049730693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001464904044713047	0.0	0.0	0.0	0.0	0.046843233583785455	0.0012074514853607833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11431001	0.0	0.0	0.6928926841079924	0.0	0.0	0.0	0.0	2.2167606767116826e-05	0.0	0.1772125628742539	0.0	0.0	0.0	2.9088714762281612e-05	0.007741610363285947	0.013236769499619938	0.0008133806483011881	0.0	0.0	0.0009181000214454026	0.007995183711282668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00831756691557913	0.0	0.0	0.0	0.0	0.0	0.0906099422017268	0.0002109433349830307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10911001	0.0	6.945605182437631e-05	0.6369539229681564	0.0	0.0001255008741298204	0.0	0.014028287247643007	0.0038110479167701907	0.0	0.19812479953741136	0.0	1.044664194106498e-05	0.0	1.3128887844850892e-05	0.004774538879577886	0.050381754177527396	0.002662623157438233	0.0	0.0	0.0	0.014306534967451648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028637916002222587	0.0	0.0	0.003065242384680366	0.0	0.0	0.06776934266340805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010395820439730206	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11231001	0.0	0.0	0.5200948507029551	0.0	0.0002000419106825881	0.0	0.0	0.0	0.0	0.00012725388812691034	0.0	0.0	0.0	0.0	0.39727642638242433	0.0	0.0	0.0	0.0	0.0	0.00501556532314528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024013038968024023	0.0	0.0	0.0	0.000226273632704028	0.0	0.07465307796718572	5.206295973719475e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10931001	0.0	0.0008270249700887793	0.27653871383654904	0.0	0.00019417020960573952	0.0	0.005653756082581991	0.0013166541790533563	0.0	0.011871806825863552	0.0	0.0	0.0	0.0	0.21917462847932498	0.020252553388300183	0.0005248600923569583	0.0	0.0	0.003919936216087022	0.26935061274713407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03875176980140791	0.0	0.0	0.0	0.0	0.0	0.14931188679996885	0.002311626371677411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10941001	0.0	0.0	0.0981100449153271	0.0	6.222800007002136e-05	0.0	0.00010426703913169923	0.0	0.0	0.10252018289154222	0.0	0.0	0.0	4.088903495360754e-06	0.2872751150994389	0.04087817380369863	0.007323609494893917	0.0	0.0	0.014389873626048563	0.003046488660512269	0.0	0.0	0.0009910479846880766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23376082393449882	0.0	0.2115340556466543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11421001	0.0	0.0	0.3108764377453349	0.0	0.0	0.0	0.0049072260166396885	0.00018077248504415954	0.0	0.32647961978222473	0.0	0.0	0.0	0.0	0.014234705249109594	0.06804234226999106	0.0005548502119991	0.0	0.00107460870477166	0.0019332529432176868	0.05230821798935878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12472008087538397	0.0	0.0	0.0	0.0	0.0	0.09468788572692444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
