	basemean	Malnourishedmean	Well-nourishedmean	baseprev	Malnourishedprev	Well-nourishedprev	basestd	Malnourishedstd	Well-nourishedstd	FC	Log2FC	Log10FC	MWW_pval	MWW_qval
wolke_approach	5.995348837209303	5.841059602649007	6.359375	1.0	1.0	1.0	1.2209146043855454	1.2170604763488573	1.159737073377013	0.91849585889321	-0.12265487803380527	-0.03692279740268254	0.0013637704650672712	0.0022729507751121187
wolke_genemotone	5.6	5.490066225165563	5.859375	1.0	1.0	1.0	1.2817919699411475	1.3259841611365453	1.1390219628023124	0.9369713024282561	-0.09392323321257169	-0.02827371048672755	0.06341500989135694	0.07926876236419617
wolke_activity	5.162790697674419	4.933774834437086	5.703125	1.0	1.0	1.0	1.20997089171251	1.170007830014742	1.136406023740481	0.8651002449423932	-0.20906077774293447	-0.0629335650174641	5.209394843163935e-06	1.3023487107909837e-05
wolke_cooperation	5.576744186046511	5.509933774834437	5.734375	1.0	1.0	1.0	1.3917039259235395	1.4276673266503614	1.3000877565007578	0.9608603858021906	-0.057601274027199646	-0.017339711270647703	0.32015916404231115	0.32015916404231115
wolke_vocalisation	4.669767441860465	4.231788079470198	5.703125	1.0	1.0	1.0	1.5700965628559358	1.4671682866859392	1.3054183480754604	0.742012156400254	-0.4304852721454641	-0.12958897960735682	2.055201197114419e-10	1.0276005985572095e-09
