	basemean	Malnourishedmean	Well-nourishedmean	baseprev	Malnourishedprev	Well-nourishedprev	basestd	Malnourishedstd	Well-nourishedstd	FC	Log2FC	Log10FC	MWW_pval	MWW_qval
OCFA	282.1093476874048	271.45224924825436	293.21049189485313	1.0	1.0	1.0	68.59320840981131	71.94349385715937	63.526531684936636	0.9257930966044646	-0.11123829001478096	-0.03348606196081819	0.04452157939495853	0.04452157939495853
lysolipids	571.7944099438407	524.2052884347429	621.3664115158175	1.0	1.0	1.0	174.53328440895874	159.6648767127286	176.59431136577493	0.843633126476774	-0.24531234913288882	-0.07384637539579457	0.001173489610814643	0.001173489610814643
