Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1 pair1	decontaminated hg37dec_v0.1 pair2	decontaminated hg37dec_v0.1 orphan1	decontaminated hg37dec_v0.1 orphan2	final pair1	final pair2	final orphan1	final orphan2
C563	23924183.0	23924183.0	23116375.0	23116375.0	541078.0	181727.0	22465382.0	22465382.0	596170.0	249631.0	22465382.0	22465382.0	596170.0	249631.0
C564	24743603.0	24743603.0	24133792.0	24133792.0	378040.0	161322.0	23318612.0	23318612.0	481044.0	277149.0	23318612.0	23318612.0	481044.0	277149.0
C565	24603809.0	24603809.0	23783087.0	23783087.0	480976.0	205802.0	21030754.0	21030754.0	477643.0	233867.0	21030754.0	21030754.0	477643.0	233867.0
C566	24758005.0	24758005.0	24139316.0	24139316.0	397038.0	155013.0	22763266.0	22763266.0	428628.0	218059.0	22763266.0	22763266.0	428628.0	218059.0
C567	22533953.0	22533953.0	21866360.0	21866360.0	466999.0	144806.0	18830076.0	18830076.0	417792.0	157365.0	18830076.0	18830076.0	417792.0	157365.0
C568	23315513.0	23315513.0	22690279.0	22690279.0	417255.0	155064.0	21884023.0	21884023.0	467445.0	245184.0	21884023.0	21884023.0	467445.0	245184.0
C569	23226778.0	23226778.0	22641015.0	22641015.0	416532.0	127649.0	21838562.0	21838562.0	471136.0	208831.0	21838562.0	21838562.0	471136.0	208831.0
C570	22900655.0	22900655.0	22327758.0	22327758.0	399067.0	123089.0	21369944.0	21369944.0	512241.0	267856.0	21369944.0	21369944.0	512241.0	267856.0
C571	24016476.0	24016476.0	23464949.0	23464949.0	379153.0	127976.0	22462662.0	22462662.0	528939.0	300805.0	22462662.0	22462662.0	528939.0	300805.0
C572	23384079.0	23384079.0	22531614.0	22531614.0	605871.0	159090.0	21865452.0	21865452.0	610304.0	206538.0	21865452.0	21865452.0	610304.0	206538.0
C573	22986950.0	22986950.0	22450448.0	22450448.0	339314.0	147013.0	20864497.0	20864497.0	418535.0	234948.0	20864497.0	20864497.0	418535.0	234948.0
C574	24582168.0	24582168.0	23990921.0	23990921.0	398623.0	130847.0	22560141.0	22560141.0	518734.0	266141.0	22560141.0	22560141.0	518734.0	266141.0
C575	23852854.0	23852854.0	23233115.0	23233115.0	396506.0	153253.0	19391926.0	19391926.0	380907.0	173511.0	19391926.0	19391926.0	380907.0	173511.0
C576	20311795.0	20311795.0	19779187.0	19779187.0	345022.0	130603.0	16584791.0	16584791.0	368518.0	184069.0	16584791.0	16584791.0	368518.0	184069.0
C577	24328105.0	24328105.0	23613061.0	23613061.0	374332.0	170841.0	22438948.0	22438948.0	431607.0	225674.0	22438948.0	22438948.0	431607.0	225674.0
C578	23464625.0	23464625.0	22813075.0	22813075.0	435513.0	162649.0	20187784.0	20187784.0	452934.0	228371.0	20187784.0	20187784.0	452934.0	228371.0
C579	23184347.0	23184347.0	22530484.0	22530484.0	393568.0	167277.0	21645920.0	21645920.0	483386.0	272729.0	21645920.0	21645920.0	483386.0	272729.0
C580	24868181.0	24868181.0	24186473.0	24186473.0	444045.0	162817.0	23519027.0	23519027.0	461994.0	229265.0	23519027.0	23519027.0	461994.0	229265.0
